Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
C1,1,10u,,,,Capacitor_SMD:CP_Elec_4x5.3,~
"C2,C3,C5",3,0.22u,,,,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~
C4,1,100u,,,,Capacitor_SMD:CP_Elec_6.3x5.8,~
D1,1,NSC_GRN,,,,LED_THT:LED_D5.0mm,~
D2,1,NSC_YLW,,,,LED_THT:LED_D5.0mm,~
D3,1,NSC_RED,,,,LED_THT:LED_D5.0mm,~
D4,1,EWC_GRN,,,,LED_THT:LED_D5.0mm,~
D5,1,EWC_YLW,,,,LED_THT:LED_D5.0mm,~
D6,1,EWC_RED,,,,LED_THT:LED_D5.0mm,~
D7,1,NSP_GRN,,,,LED_THT:LED_D5.0mm,~
D8,1,NSP_RED,,,,LED_THT:LED_D5.0mm,~
D9,1,EWP_GRN,,,,LED_THT:LED_D5.0mm,~
D10,1,EWP_RED,,,,LED_THT:LED_D5.0mm,~
"D11,D12,D13",3,1N4148W,,,,Diode_SMD:D_SOD-123,https://www.vishay.com/docs/85748/1n4148w.pdf
"H1,H2,H3,H4",4,MountingHole,,Excluded from BOM,,MountingHole:MountingHole_2.2mm_M2,~
J1,1,NS Connector,,,,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,~
J2,1,EW Connector,,,,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,~
J3,1,Control Logic Connector,,,,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical,~
J4,1,+5V,,,,my_footprints:Terminal_Block_5mm,~
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26",26,130R,,,,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~
"R27,R28,R29,R30,R31,R32",6,47K,,,,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~
SW1,1,RST,,,,my_footprints:tact_switch_5mm,~
SW2,1,OVR,,,,my_footprints:slide_switch_2.54mm,~
SW3,1,EN,,,,my_footprints:slide_switch_2.54mm,~
"U1,U2",2,SM420561N,,,,Display_7Segment:7SegmentLED_LTS6760_LTS6780,https://datasheet.lcsc.com/szlcsc/Wuxi-ARK-Tech-Elec-SM420561N_C141367.pdf
U3,1,LM1117DT-3.3,,,,Package_TO_SOT_SMD:SOT-223,http://www.ti.com/lit/ds/symlink/lm1117.pdf
